date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:25	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226330107e-8656%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400d41d.eot?	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400d41dd41d.eot	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:25	13600/13600	---M--	200	added ('OK')	font/woff2	etag:%226330107e-3520%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff2	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:26	16800/16800	---M--	200	added ('OK')	font/woff	etag:%226330107e-41a0%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:26	34092/34092	---M-Z	200	added ('OK')	font/ttf	etag:W/%226330107e-852c%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.ttf	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:26	144322/144322	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226330107e-233c2%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.svg	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:27	194078/194078	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226330107e-2f61e%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.eot	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:27	194078/194078	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226330107e-2f61e%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900d41d.eot?	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900d41dd41d.eot	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:27	76120/76120	---M--	200	added ('OK')	font/woff2	etag:%226330107e-12958%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.woff2	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:27	99004/99004	---M--	200	added ('OK')	font/woff	etag:%226330107e-182bc%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.woff	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:28	193792/193792	---M-Z	200	added ('OK')	font/ttf	etag:W/%226330107e-2f500%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.ttf	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:27:29	849240/849240	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226330107e-cf558%22	https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.svg	(from https://chandrago.github.io/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
